Organização;Nome;Descrição;Tags;Quantidade Recursos;Quantidade Reusos;Quantidade Downloads
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Diretor de Marcas, Desenhos Industriais e Indicações Geográficas do INPI (2015);Histórico de compromissos públicos do Diretor de Marcas, Desenhos Industriais e Indicações Geográficas do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2015, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,diretor de marcas,eventos públicos,reuniões governamentais;3;0;1
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Diretor de Marcas, Desenhos Industriais e Indicações Geográficas do INPI (2016);Histórico de compromissos públicos do Diretor de Marcas, Desenhos Industriais e Indicações Geográficas do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2016, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,diretor de marcas,eventos públicos,reuniões governamentais;2;0;0
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Diretor de Marcas, Desenhos Industriais e Indicações Geográficas do INPI (2017);Histórico de compromissos públicos do Diretor de Marcas, Desenhos Industriais e Indicações Geográficas do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2017, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,diretor de marcas,eventos públicos,reuniões governamentais;2;0;0
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Diretor de Marcas, Desenhos Industriais e Indicações Geográficas do INPI (2018);Histórico de compromissos públicos do Diretor de Marcas, Desenhos Industriais e Indicações Geográficas do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2018, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,diretor de marcas,eventos públicos,reuniões governamentais;2;0;0
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Diretor de Marcas, Desenhos Industriais e Indicações Geográficas do INPI (2019);Histórico de compromissos públicos do Diretor de Marcas, Desenhos Industriais e Indicações Geográficas do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2019, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,diretor de marcas,eventos públicos,reuniões governamentais;3;0;0
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Diretor de Marcas, Desenhos Industriais e Indicações Geográficas do INPI (2020);Histórico de compromissos públicos do Diretor de Marcas, Desenhos Industriais e Indicações Geográficas do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2020, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,diretor de marcas,eventos públicos,reuniões governamentais;2;0;8
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Diretor de Patentes, Programas de Computador e Topografias de Circuitos Integrados do INPI (2015);Histórico de compromissos públicos do Diretor de Patentes, Programas de Computador e Topografias de Circuitos Integrados do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2015, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,diretor de patentes,eventos públicos,reuniões governamentais;2;0;2
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Diretor de Patentes, Programas de Computador e Topografias de Circuitos Integrados do INPI (2016);Histórico de compromissos públicos do Diretor de Patentes, Programas de Computador e Topografias de Circuitos Integrados do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2016, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,diretor de patentes,eventos públicos,reuniões governamentais;2;0;0
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Diretor de Patentes, Programas de Computador e Topografias de Circuitos Integrados do INPI (2017);Histórico de compromissos públicos do Diretor de Patentes, Programas de Computador e Topografias de Circuitos Integrados do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2017, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,diretor de patentes,eventos públicos,reuniões governamentais;2;0;4
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Diretor de Patentes, Programas de Computador e Topografias de Circuitos Integrados do INPI (2018);Histórico de compromissos públicos do Diretor de Patentes, Programas de Computador e Topografias de Circuitos Integrados do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2018, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,diretor de patentes,eventos públicos,reuniões governamentais;2;0;3
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Diretor de Patentes, Programas de Computador e Topografias de Circuitos Integrados do INPI (2019);Histórico de compromissos públicos do Diretor de Patentes, Programas de Computador e Topografias de Circuitos Integrados do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2019, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,diretor de patentes,eventos públicos,reuniões governamentais;2;0;3
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Diretor de Patentes, Programas de Computador e Topografias de Circuitos Integrados do INPI (2020);Histórico de compromissos públicos do Diretor de Patentes, Programas de Computador e Topografias de Circuitos Integrados do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2020, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,diretor de patentes,eventos públicos,reuniões governamentais;2;0;6
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Presidente do INPI (2015);Histórico de compromissos públicos do Presidente do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2015, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,eventos públicos,presidente,reuniões governamentais;2;0;0
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Presidente do INPI (2016);Histórico de compromissos públicos do Presidente do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2016, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,eventos públicos,presidente,reuniões governamentais;2;0;0
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Presidente do INPI (2017);Histórico de compromissos públicos do Presidente do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2017, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,eventos públicos,presidente,reuniões governamentais;2;0;0
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Presidente do INPI (2018);Histórico de compromissos públicos do Presidente do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2018, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,eventos públicos,presidente,reuniões governamentais;2;0;0
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Presidente do INPI (2019);Histórico de compromissos públicos do Presidente do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2019, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,eventos públicos,presidente,reuniões governamentais;2;0;0
